IP address,injection tag,bad method,average actions per second,score
192.168.202.79,1,1,2.0292442740599923,2
192.168.202.96,1,1,0.5346424008584155,2
192.168.202.118,1,1,1.486522562680534,2
192.168.202.138,1,1,2.140589146836431,2
192.168.202.125,1,1,1.6365862827145499,2
192.168.202.112,1,1,0.04875623853318401,2
192.168.202.110,1,1,5.2763958377375335,2
192.168.202.140,1,1,1.529426562214401,2
192.168.202.102,1,1,1.8814382723710572,2
192.168.202.90,0,1,0.01607870516994398,1
192.168.203.63,0,0,72.35089621085945,1
192.168.203.61,0,1,0.008874640466737804,1
192.168.202.108,0,1,0.013423601021634101,1
192.168.202.80,0,1,0.013344410629147862,1
192.168.202.144,0,1,0.03986219071228997,1
192.168.202.100,0,1,0.0029639259454748304,1
192.168.202.101,0,1,0.0005874593392235805,1
192.168.202.115,0,1,0.00034283092637453776,1
192.168.202.94,0,1,0.0059040309086461065,1
192.168.202.153,0,1,0.00755818347776901,1
192.168.204.45,0,1,0.021309271914758593,1
2001:dbb:c18:202:20c:29ff:fe93:571e,0,1,0.026277683950905188,1
192.168.202.4,0,1,0.08202968194090067,1
192.168.202.73,0,0,30.000028610256777,1
192.168.203.45,0,1,0.012861644818837614,1
192.168.202.88,0,1,0.00412916012362656,1
192.168.202.68,0,0,0.0029661481600005146,0
192.168.24.253,0,0,0.0,0
2001:dbb:c18:202:20c:29ff:fe18:b667,0,0,0.012673949963551921,0
192.168.202.135,0,0,0.0,0
192.168.204.60,0,0,0.12532756069716797,0
192.168.203.66,0,0,3.179190716394075,0
192.168.21.253,0,0,0.0,0
2001:dbb:c18:202:20c:29ff:fe41:4be7,0,0,0.06360979590529361,0
192.168.202.141,0,0,0.039503262335305454,0
192.168.202.133,0,0,0.00037047367175889435,0
192.168.22.253,0,0,0.0,0
192.168.28.253,0,0,0.0,0
192.168.202.222,0,0,0.0024723468010454637,0
192.168.202.136,0,0,0.03114769308236441,0
192.168.202.143,0,0,0.013443247296408329,0
192.168.202.63,0,0,0.1316478946525238,0
192.168.202.64,0,0,0.027658324374410508,0
192.168.202.152,0,0,0.01629422327797209,0
192.168.202.62,0,0,0.026332734675688415,0
192.168.202.91,0,0,0.00888992604672357,0
2001:dbb:c18:204:20c:29ff:fe4e:9e86,0,0,0.0,0
192.168.22.100,0,0,0.0029305102749992763,0
192.168.23.100,0,0,0.0014817668582684867,0
192.168.203.62,0,0,0.1384044388699496,0
192.168.204.70,0,0,0.04054928240266349,0
192.168.202.87,0,0,0.009124662365563535,0
192.168.202.83,0,0,1.2773722583277478,0
192.168.28.100,0,0,0.006708786176412682,0
192.168.24.100,0,0,0.0018349802281094501,0
192.168.26.100,0,0,0.0001997281500152238,0
192.168.27.100,0,0,9.735185432907838e-05,0
192.168.202.103,0,0,0.030090208953320388,0
192.168.203.64,0,0,0.004427573349565666,0
192.168.202.95,0,0,0.0043780379891354216,0
192.168.202.107,0,0,0.012569435996270757,0
192.168.202.122,0,0,0.0026232594233248675,0
192.168.202.65,0,0,0.06268767716033277,0
192.168.25.100,0,0,0.0013584234138255562,0
192.168.202.97,0,0,0.25849335318737343,0
192.168.202.76,0,0,0.040509162211355726,0
192.168.26.254,0,0,6.631299768297614,0
192.168.202.109,0,0,0.0015569738142737143,0
192.168.23.254,0,0,10.769231164243815,0
192.168.202.98,0,0,0.0,0
192.168.202.150,0,0,3.543513126256328,0
